,artist,title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,Bob Dylan,Like a Rolling Stone,3AhXZa8sUQht0UEdBJgpGc,0.482,0.721,0,-6.839,1,0.0321,0.731,0.0,0.189,0.557,95.263,audio_features,spotify:track:3AhXZa8sUQht0UEdBJgpGc,https://api.spotify.com/v1/tracks/3AhXZa8sUQht0UEdBJgpGc,https://api.spotify.com/v1/audio-analysis/3AhXZa8sUQht0UEdBJgpGc,369600,4
1,The Rolling Stones,(I Can't Get No) Satisfaction,2PzU4IB8Dr6mxV3lHuaG34,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,audio_features,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,https://api.spotify.com/v1/audio-analysis/2PzU4IB8Dr6mxV3lHuaG34,222813,4
2,The Beach Boys,Good Vibrations,5t9KYe0Fhd5cW6UYT4qP8f,0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,audio_features,spotify:track:5t9KYe0Fhd5cW6UYT4qP8f,https://api.spotify.com/v1/tracks/5t9KYe0Fhd5cW6UYT4qP8f,https://api.spotify.com/v1/audio-analysis/5t9KYe0Fhd5cW6UYT4qP8f,219027,4
3,Nirvana,Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,audio_features,spotify:track:5ghIJDpPoe3CfHMGu71E6T,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T,https://api.spotify.com/v1/audio-analysis/5ghIJDpPoe3CfHMGu71E6T,301920,4
4,Aretha Franklin,Respect,7s25THrKz86DM225dOYwnr,0.805,0.558,0,-5.226,1,0.041,0.164,2.2e-05,0.0546,0.965,114.95,audio_features,spotify:track:7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/tracks/7s25THrKz86DM225dOYwnr,https://api.spotify.com/v1/audio-analysis/7s25THrKz86DM225dOYwnr,147600,4
5,Chuck Berry,Johnny B. Goode,2QfiRTz5Yc8DdShCxG1tB2,0.534,0.803,10,-9.129,1,0.0743,0.741,6.07e-05,0.307,0.969,167.983,audio_features,spotify:track:2QfiRTz5Yc8DdShCxG1tB2,https://api.spotify.com/v1/tracks/2QfiRTz5Yc8DdShCxG1tB2,https://api.spotify.com/v1/audio-analysis/2QfiRTz5Yc8DdShCxG1tB2,161560,4
6,Otis Redding,Sittin' on the Dock of the Bay,3zBhihYUHBmGd2bcQIobrF,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621,audio_features,spotify:track:3zBhihYUHBmGd2bcQIobrF,https://api.spotify.com/v1/tracks/3zBhihYUHBmGd2bcQIobrF,https://api.spotify.com/v1/audio-analysis/3zBhihYUHBmGd2bcQIobrF,163756,4
7,Marvin Gaye,I Heard It Through the Grapevine,1tqT6DhmsrtQgyCKUwotiw,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287,audio_features,spotify:track:1tqT6DhmsrtQgyCKUwotiw,https://api.spotify.com/v1/tracks/1tqT6DhmsrtQgyCKUwotiw,https://api.spotify.com/v1/audio-analysis/1tqT6DhmsrtQgyCKUwotiw,194293,4
8,Led Zeppelin,Stairway to Heaven,5CQ30WqJwcep0pYcV4AMNc,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,audio_features,spotify:track:5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/tracks/5CQ30WqJwcep0pYcV4AMNc,https://api.spotify.com/v1/audio-analysis/5CQ30WqJwcep0pYcV4AMNc,482830,4
9,Sex Pistols,Anarchy in the U.K.,3LoDeIbiR12sAznmpNEmKA,0.323,0.978,5,-3.841,1,0.118,0.0422,0.00019,0.201,0.168,134.222,audio_features,spotify:track:3LoDeIbiR12sAznmpNEmKA,https://api.spotify.com/v1/tracks/3LoDeIbiR12sAznmpNEmKA,https://api.spotify.com/v1/audio-analysis/3LoDeIbiR12sAznmpNEmKA,211973,4
10,The Kingsmen,Louie Louie,0iA3xXSkSCiJywKyo1UKjQ,0.623,0.709,1,-9.818,0,0.0636,0.102,0.0,0.0967,0.948,122.394,audio_features,spotify:track:0iA3xXSkSCiJywKyo1UKjQ,https://api.spotify.com/v1/tracks/0iA3xXSkSCiJywKyo1UKjQ,https://api.spotify.com/v1/audio-analysis/0iA3xXSkSCiJywKyo1UKjQ,165381,4
11,The Ronettes,Be My Baby,1WN4uNclrDuczTO3bCr8s1,0.512,0.771,4,-7.006,1,0.0402,0.168,0.0,0.0895,0.803,129.639,audio_features,spotify:track:1WN4uNclrDuczTO3bCr8s1,https://api.spotify.com/v1/tracks/1WN4uNclrDuczTO3bCr8s1,https://api.spotify.com/v1/audio-analysis/1WN4uNclrDuczTO3bCr8s1,160907,4
12,The Who,My Generation,4u9f8hqstB7iITDJNzKhQx,0.412,0.782,2,-9.186,0,0.058,0.308,0.00822,0.0775,0.705,96.732,audio_features,spotify:track:4u9f8hqstB7iITDJNzKhQx,https://api.spotify.com/v1/tracks/4u9f8hqstB7iITDJNzKhQx,https://api.spotify.com/v1/audio-analysis/4u9f8hqstB7iITDJNzKhQx,198707,4
13,Grandmaster Flash and The Furious Five,The Message,5DuTNKFEjJIySAyJH1yNDU,0.947,0.607,10,-10.58,0,0.202,0.0249,4.76e-06,0.0861,0.732,100.619,audio_features,spotify:track:5DuTNKFEjJIySAyJH1yNDU,https://api.spotify.com/v1/tracks/5DuTNKFEjJIySAyJH1yNDU,https://api.spotify.com/v1/audio-analysis/5DuTNKFEjJIySAyJH1yNDU,431800,4
14,Elvis Presley,Heartbreak Hotel,1iUgrte2PxLxQ6Te95RnAV,0.695,0.295,9,-8.672,1,0.0609,0.843,1.58e-06,0.0856,0.732,93.574,audio_features,spotify:track:1iUgrte2PxLxQ6Te95RnAV,https://api.spotify.com/v1/tracks/1iUgrte2PxLxQ6Te95RnAV,https://api.spotify.com/v1/audio-analysis/1iUgrte2PxLxQ6Te95RnAV,127960,4
